driverId,week,hours-logged,miles-logged
91,43,79,1700
18,44,51,2400
103,51,65,500
15,29,71,1900
54,21,51,2400
33,49,70,200
109,12,73,900
10,43,58,0
16,18,50,1900
32,50,54,2800
18,20,80,1100
21,15,65,1700
16,5,61,3500
46,12,62,400
73,42,66,900
23,8,67,1000
63,41,77,2000
76,45,79,2200
26,27,63,2100
68,18,53,100
49,33,61,1200
66,24,63,2800
94,29,80,3400
75,6,76,200
59,10,71,3200
30,4,54,4000
40,48,80,3900
71,18,59,3700
19,13,53,800
103,34,68,1600
41,50,67,800
35,19,57,400
19,27,64,3400
17,1,60,1200
52,19,54,2700
40,26,74,1300
80,49,73,500
30,9,69,2500
49,5,67,1200
56,22,74,800
18,3,50,1500
36,48,51,1800
105,18,64,400
37,21,67,2300
82,44,75,1300
26,17,66,600
63,13,79,3100
51,22,69,3300
37,40,70,1300
55,38,74,3300
34,9,77,500
68,31,66,3600
37,29,80,2000
85,44,61,900
99,19,73,4000
14,30,78,1900
29,14,77,3600
27,17,59,700
30,36,77,4000
54,32,66,3000
38,34,78,900
68,48,72,3300
15,27,50,3700
24,19,59,1600
58,2,52,2000
71,52,79,2100
18,7,51,1700
22,1,70,2100
75,1,75,3500
70,41,56,200
77,16,51,3400
30,48,65,1400
100,26,58,1500
55,2,74,2100
54,8,71,400
67,7,55,2300
29,1,52,1300
72,37,69,3200
99,4,55,2600
49,51,54,1800
71,39,74,1300
27,42,63,500
71,7,76,1600
37,11,73,2600
47,25,58,1200
46,11,59,3900
37,15,72,1400
73,27,65,300
38,34,66,1200
66,17,50,2100
47,52,63,3200
24,40,52,3800
97,34,62,1700
93,15,63,1400
14,30,61,1600
24,11,57,1600
99,50,70,4000
48,16,60,1000
30,52,66,0
15,33,55,800
79,21,79,1900
29,7,66,1300
60,35,67,1000
93,24,66,2400
80,35,52,2700
108,24,53,1900
80,17,72,3700
72,48,71,2400
105,7,59,2700
53,12,72,200
44,31,77,3600
98,30,55,2000
25,40,66,1800
95,52,63,3200
14,8,51,1300
20,46,65,1200
60,43,57,1100
28,26,68,3900
78,19,59,3600
30,42,75,3100
77,40,59,2700
80,32,73,1500
48,16,65,2100
59,8,61,1300
109,20,73,3000
60,4,64,3700
56,27,60,1400
50,10,68,3500
94,45,69,200
100,46,52,3800
78,13,73,500
76,21,66,3000
75,16,50,3400
84,22,77,3600
107,45,58,3600
37,33,76,3300
78,41,70,3200
94,11,52,2900
87,35,71,2600
43,50,54,2300
58,35,53,700
96,48,76,600
57,22,56,1300
96,18,76,1200
99,1,80,1900
24,33,74,300
11,48,64,3100
36,7,63,2600
81,14,59,2100
98,49,62,1300
14,17,63,600
71,45,69,2200
28,34,63,0
61,9,72,3500
59,7,77,3800
61,37,53,2300
101,14,62,1300
41,50,58,900
59,18,62,1200
39,33,71,2500
46,49,54,200
90,14,80,4000
37,17,61,2400
64,19,61,800
23,22,73,300
104,17,70,800
76,19,80,1300
10,18,72,2600
24,9,76,400
24,21,76,2100
103,33,80,2200
109,34,58,1300
79,15,62,2500
66,6,51,2700
13,15,73,3100
86,43,79,300
17,13,66,1900
53,16,66,0
79,49,67,2400
76,47,56,1300
94,20,74,1200
63,38,61,4000
45,38,69,3100
78,1,59,700
54,15,79,2000
67,51,63,1500
25,48,61,2200
13,9,53,1300
104,16,56,3100
46,47,55,3700
102,10,51,3500
84,18,53,3300
53,20,59,1600
70,47,76,2500
15,7,59,2900
66,34,60,2100
51,42,61,2000
14,17,67,1100
61,31,50,3200
75,2,65,400
21,21,55,1500
75,5,60,1200
64,14,65,1900
85,30,69,1600
47,51,75,2600
51,5,64,1700
95,29,50,3200
95,17,78,2400
37,7,54,2400
95,10,79,2600
12,24,63,1400
62,1,59,3900
93,29,75,3600
90,22,76,200
23,43,65,3600
109,43,58,2200
73,19,58,700
44,8,75,200
58,12,54,1800
34,20,57,4000
66,3,53,2900
22,14,66,2800
16,37,75,1200
39,21,53,2500
41,29,51,3500
73,36,80,1200
34,37,69,3600
102,26,72,700
49,14,72,700
16,9,67,4000
96,39,75,3000
79,6,52,2700
24,4,78,2500
24,39,55,100
38,51,72,3000
79,43,75,3400
89,34,62,3200
41,23,68,1500
74,22,70,3500
49,52,52,2900
47,7,67,2300
19,12,70,3200
27,23,54,1000
42,13,58,2700
87,12,61,3700
44,51,68,0
97,24,78,1500
96,21,67,1400
102,51,62,1500
62,9,68,2900
97,5,52,3700
73,1,52,4000
101,47,65,600
39,22,68,2900
61,52,74,1100
21,33,70,1500
85,31,59,3700
24,44,60,1700
38,32,62,500
37,33,79,900
83,51,68,2600
71,8,66,2900
35,43,57,1000
100,47,52,2100
24,40,57,3000
65,47,53,500
15,21,69,2700
73,37,66,1700
49,29,73,2900
87,21,69,3300
33,40,65,3100
98,48,72,400
24,43,68,600
65,37,54,700
58,31,64,700
101,39,63,1300
90,38,57,3500
66,47,63,1700
20,24,77,1300
58,42,80,4000
24,32,50,1800
67,41,72,1600
109,22,61,2500
15,51,63,2300
99,5,73,2600
100,21,76,4000
52,19,56,1100
92,21,76,500
93,2,80,1900
20,48,57,3100
58,34,75,3000
73,16,58,2900
34,20,59,3600
13,8,56,600
88,16,70,1500
100,40,50,700
100,31,53,1100
60,38,61,1800
54,40,74,1900
38,30,71,4000
97,2,58,3900
69,20,55,300
11,19,65,3100
109,49,64,2700
85,33,70,800
47,4,70,3300
14,23,62,2800
104,25,60,3900
93,23,77,600
76,21,65,2800
82,15,72,1700
12,47,53,2600
68,8,79,2200
81,25,61,300
83,10,52,200
73,47,71,700
42,2,73,100
71,23,56,2800
50,28,80,300
11,25,67,1700
41,11,51,200
72,32,63,2600
29,46,76,4000
32,22,56,2500
41,24,78,2200
67,35,61,2300
28,3,58,2900
86,19,55,500
16,17,78,3600
104,28,71,700
23,41,68,2700
76,40,58,700
55,4,53,3800
61,49,55,2100
38,30,61,400
105,7,69,3800
35,24,59,2100
101,27,79,3300
101,1,73,1500
103,38,60,3100
78,10,53,1400
63,16,78,2900
85,46,64,3500
57,6,57,300
55,28,54,800
30,5,58,3900
33,41,65,1100
97,33,73,1800
37,16,77,3600
43,10,62,100
45,7,53,2400
102,18,65,3500
109,44,74,700
58,33,57,2400
27,46,60,800
22,17,50,3300
72,52,73,1900
58,17,78,1600
90,25,50,1700
94,1,61,700
37,36,51,3500
